Proposal ,Tag,Stage 4
hashbang-grammar,#comments,2022-07-20
hashbang-grammar,#grammar,2022-07-20
hashbang-grammar,#hashbang,2022-07-20
import-attributes,#module,2024-12-12
import-attributes,#module_specifier,2024-12-12
import-attributes,#security,2024-12-12
import-meta,#host_environment,2020-05-01
import-meta,#module,2020-05-01
iterator-helpers,#array,2024-10-08
iterator-helpers,#helper,2024-10-08
iterator-helpers,#iterator,2024-10-08
json-modules,#json,2024-10-08
json-modules,#module,2024-10-08
json-modules,#security,2024-10-08
json-superset,#grammar,2018-05-22
json-superset,#json,2018-05-22
json-superset,#parse,2018-05-22
logical-assignment,#logical_operator,2020-07-21
logical-assignment,#performance,2020-07-21
logical-assignment,#short_circuiting,2020-07-21
lookbehind,#assertions,2018-01-24
lookbehind,#pattern_matching,2018-01-24
lookbehind,#regex,2018-01-24
matchall,#global,2019-03-26
matchall,#iterator,2019-03-26
matchall,#performance,2019-03-26
matchall,#regex,2019-03-26
named-groups,#backreference,2018-01-24
named-groups,#named_groups,2018-01-24
named-groups,#regex,2018-01-24
nonblocking,#asynchronous,2023-05-15
nonblocking,#concurrency,2023-05-15
nonblocking,#wait,2023-05-15
nullish-coalescing,#default_value,2020-01-21
nullish-coalescing,#null,2020-01-21
nullish-coalescing,#property,2020-01-21
nullish-coalescing,#undefined,2020-01-21
numeric_separators,#bigint,2020-07-23
numeric_separators,#floating_point,2020-07-23
numeric_separators,#integer,2020-07-23
numeric_separators,#numeric_literal,2020-07-23
numeric_separators,#readability,2020-07-23
object-from-entries,#iterable,2019-01-29
object-from-entries,#key_value_pairs,2019-01-29
object-from-entries,#object_transformation,2019-01-29
object-gopds,#composition,2016-05-25
object-gopds,#copy,2016-05-25
object-gopds,#descriptors,2016-05-25
object-gopds,#property,2016-05-25
object-has,#accessibility,2021-08-31
object-has,#inheritance,2021-08-31
object-has,#property,2021-08-31
object-has,#redefinition,2021-08-31
object-rest-spread,#copy,2018-02-13
object-rest-spread,#destructuring,2018-02-13
object-rest-spread,#iterable,2018-02-13
object-rest-spread,#property,2018-02-13
object-rest-spread,#rest_properties,2018-02-13
object-rest-spread,#spread_properties,2018-02-13
object-values-entries,#array,2016-03-29
object-values-entries,#iterator,2016-03-29
object-values-entries,#key_value_pairs,2016-03-29
optional-catch,#error,2018-05-22
optional-catch,#error_handling,2018-05-22
optional-catch,#grammar,2018-05-22
private-fields-in-in,#brand_check,2021-07-15
private-fields-in-in,#class,2021-07-15
private-fields-in-in,#encapsulation,2021-07-15
private-fields-in-in,#private_field,2021-07-15
promise-any,#asynchronous,2020-07-21
promise-any,#error_handling,2020-07-21
promise-any,#iterable,2020-07-21
promise-any,#promise,2020-07-21
promise-any,#short_circuiting,2020-07-21
promise-defer,#asynchronous,2023-12-12
promise-defer,#error_handling,2023-12-12
promise-defer,#promise,2023-12-12
regex-match-indices,#array,2021-06-10
regex-match-indices,#index,2021-06-10
regex-match-indices,#iterator,2021-06-10
regex-match-indices,#performance,2021-06-10
regex-match-indices,#property,2021-06-10
regex-match-indices,#regex,2021-06-10
regexp-modifiers,#flags,2024-10-08
regexp-modifiers,#modifiers,2024-10-08
regexp-modifiers,#regex,2024-10-08
regexp-v-flag,#flag,2023-05-16
regexp-v-flag,#regex,2023-05-16
regexp-v-flag,#set,2023-05-16
regexp-v-flag,#string,2023-05-16
replace-all,#global,2020-06-27
replace-all,#performance,2020-06-27
replace-all,#regex,2020-06-27
replace-all,#string,2020-06-27
resizable,#arraybuffer,2023-10-24
resizable,#iterator,2023-10-24
resizable,#memory_management,2023-10-24
resizable,#performance,2023-10-24
resizable,#security,2023-10-24
resizable,#sharedarraybuffer,2023-10-24
resizable,#typedarray,2023-10-24
set-methods,#property,2024-06-25
set-methods,#set,2024-06-25
static-blocks,#class,2021-08-31
static-blocks,#decorator,2021-08-31
static-blocks,#field_initialization,2021-08-31
static-blocks,#instance_private,2021-08-31
static-blocks,#private_field,2021-08-31
string-padding,#formatting,2016-05-25
string-padding,#string,2016-05-25
string-padding,#string_manipulation,2016-05-25
symbol-description,#property,2018-11-28
symbol-description,#symbol,2018-11-28
symbols-weakmap,#key_value_pairs,2023-01-30
symbols-weakmap,#records,2023-01-30
symbols-weakmap,#referencing,2023-01-30
symbols-weakmap,#symbol,2023-01-30
symbols-weakmap,#tuples,2023-01-30
template-literal-lift,#expressions,2017-10-12
template-literal-lift,#extensibility,2017-10-12
template-literal-lift,#functionality,2017-10-12
template-literal-lift,#interpolation,2017-10-12
template-literal-lift,#literals,2017-10-12
template-literal-lift,#performance,2017-10-12
trims,#formatting,2019-12-30
trims,#string,2019-12-30
trims,#string_manipulation,2019-12-30
try,#error_handling,2024-10-09
try,#promise,2024-10-09
try,#synchronous,2024-10-09
unicode-escapes,#performance,2018-01-24
unicode-escapes,#property,2018-01-24
unicode-escapes,#regex,2018-01-24
unicode-escapes,#unicode,2018-01-24
usv-string,#performance,2023-05-15
usv-string,#string,2023-05-15
usv-string,#unicode,2023-05-15
weakrefs,#finalizer,2020-12-16
weakrefs,#garbage_collection,2020-12-16
weakrefs,#iterator,2020-12-16
weakrefs,#memory_management,2020-12-16
weakrefs,#weak_reference,2020-12-16
weakrefs,#webassembly,2020-12-16
well-formed-stringify,#json,2019-01-29
well-formed-stringify,#string,2019-01-29
well-formed-stringify,#unicode,2019-01-29
